local_datetime,timezone,longitude_deg,latitude_deg,year_pillar,month_pillar,day_pillar,hour_pillar,month_term,delta_t_seconds,dataset_version,notes
1990-02-07T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,戊寅,癸卯,,立春,,SL-DB-v10.4,"{""num"": ""32910"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-01-12"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""31119"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-02-08T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,戊寅,甲辰,,立春,,SL-DB-v10.4,"{""num"": ""32911"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-01-13"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""41119"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-02-09T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,戊寅,乙巳,,立春,,SL-DB-v10.4,"{""num"": ""32912"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-01-14"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""51119"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-02-10T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,戊寅,丙午,,立春,,SL-DB-v10.4,"{""num"": ""32913"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-01-15"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""61119"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-02-11T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,戊寅,丁未,,立春,,SL-DB-v10.4,"{""num"": ""32914"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-01-16"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""71119"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-02-12T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,戊寅,戊申,,立春,,SL-DB-v10.4,"{""num"": ""32915"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-01-17"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""81119"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-02-13T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,戊寅,己酉,,立春,,SL-DB-v10.4,"{""num"": ""32916"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-01-18"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""91119"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-02-14T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,戊寅,庚戌,,立春,,SL-DB-v10.4,"{""num"": ""32917"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-01-19"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""101119"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-02-15T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,戊寅,辛亥,,立春,,SL-DB-v10.4,"{""num"": ""32918"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-01-20"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""111119"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-02-16T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,戊寅,壬子,,立春,,SL-DB-v10.4,"{""num"": ""32919"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-01-21"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""121119"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-02-17T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,戊寅,癸丑,,立春,,SL-DB-v10.4,"{""num"": ""32920"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-01-22"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""131119"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-02-18T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,戊寅,甲寅,,立春,,SL-DB-v10.4,"{""num"": ""32921"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-01-23"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""141119"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-02-19T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,戊寅,乙卯,,立春,,SL-DB-v10.4,"{""num"": ""32922"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-01-24"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""151119"", ""div_hour"": ""7"", ""div_minute"": ""9""}"
1990-02-20T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,戊寅,丙辰,,立春,,SL-DB-v10.4,"{""num"": ""32923"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-01-25"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""161119"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-02-21T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,戊寅,丁巳,,立春,,SL-DB-v10.4,"{""num"": ""32924"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-01-26"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""171119"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
